VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
1404, 1108, -0.93656,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.23438,  0.4375
1405, 1110, -0.93207,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.24414,  0.53125
1406, 1111, -0.93656,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.23438,  0.53125
1407, 1112, -0.93027,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1408, 1113, -0.92578,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.4375
1409, 1114, -0.92578,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1410, 1112, -0.93027,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1411, 1114, -0.92578,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1412, 1115, -0.93027,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.53125
1413, 1116, -0.92398,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.31641,  0.4375
1414, 1117, -0.91949,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.32617,  0.4375
1415, 1118, -0.91949,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.32617,  0.53125
1416, 1116, -0.92398,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.31641,  0.4375
1417, 1118, -0.91949,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.32617,  0.53125
1418, 1119, -0.92398,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.31641,  0.53125
1419, 1120, -0.9177,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.19922,  0.4375
1420, 1121, -0.9132,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.20898,  0.4375
1421, 1122, -0.9132,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.20898,  0.53125
1422, 1120, -0.9177,  0.33111,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.19922,  0.4375
1423, 1122, -0.9132,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.20898,  0.53125
1424, 1123, -0.9177,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.19922,  0.53125
1425, 1124, -0.9123,  0.32153,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.63672,  0.48438
